Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
Arnot,Hard Coal,Steam Turbine,PP,ZA,1050.0,,,,,,1990,,,-25.94444,29.79166,,RSA_FIXED_TECHNOLOGIES,Middelburg
Arnot_2,Hard Coal,Steam Turbine,PP,ZA,1050.0,,,,,,1990,,,-25.94444,29.79166,,RSA_FIXED_TECHNOLOGIES,Middelburg
Camden,Hard Coal,Steam Turbine,PP,ZA,570.0,,,,,,1990,,,-26.62007,30.09113,,RSA_FIXED_TECHNOLOGIES,Highveld South
Camden_2,Hard Coal,Steam Turbine,PP,ZA,911.0,,,,,,1990,,,-26.62007,30.09113,,RSA_FIXED_TECHNOLOGIES,Highveld South
Duvha,Hard Coal,Steam Turbine,PP,ZA,1150.0,,,,,,1990,,,-25.95954,29.34094,,RSA_FIXED_TECHNOLOGIES,Middelburg
Duvha_2,Hard Coal,Steam Turbine,PP,ZA,1725.0,,,,,,1990,,,-25.95954,29.34094,,RSA_FIXED_TECHNOLOGIES,Middelburg
Grootvlei,Hard Coal,Steam Turbine,PP,ZA,380.0,,,,,,1990,,,-26.76955,28.49951,,RSA_FIXED_TECHNOLOGIES,Highveld South
Grootvlei_2,Hard Coal,Steam Turbine,PP,ZA,190.0,,,,,,1990,,,-26.76955,28.49951,,RSA_FIXED_TECHNOLOGIES,Highveld South
Hendrina,Hard Coal,Steam Turbine,PP,ZA,760.0,,,,,,1990,,,-26.03138,29.60138,,RSA_FIXED_TECHNOLOGIES,Middelburg
Hendrina_2,Hard Coal,Steam Turbine,PP,ZA,338.0,,,,,,1990,,,-26.62007,30.09113,,RSA_FIXED_TECHNOLOGIES,Highveld South
Kelvin,Hard Coal,Steam Turbine,PP,ZA,160.0,,,,,,1990,,,-26.115776,28.1138,,RSA_FIXED_TECHNOLOGIES,Johannesburg
Kendal,Hard Coal,Steam Turbine,PP,ZA,1920.0,,,,,,1990,,,-26.08805,28.96888,,RSA_FIXED_TECHNOLOGIES,Witbank
Kendal_2,Hard Coal,Steam Turbine,PP,ZA,1920.0,,,,,,1990,,,-26.08805,28.96888,,RSA_FIXED_TECHNOLOGIES,Witbank
Kriel,Hard Coal,Steam Turbine,PP,ZA,1215.0,,,,,,1990,,,-26.25404,29.18008,,RSA_FIXED_TECHNOLOGIES,Witbank
Kriel_2,Hard Coal,Steam Turbine,PP,ZA,1425.0,,,,,,1990,,,-26.25404,29.18008,,RSA_FIXED_TECHNOLOGIES,Witbank
Kusile,Hard Coal,Steam Turbine,PP,ZA,2880.0,,,,,,1990,,,-25.92007,28.924942,,RSA_FIXED_TECHNOLOGIES,Witbank
Kusile_2,Hard Coal,Steam Turbine,PP,ZA,720.0,,,,,,2023,,,-25.92007,28.924942,,RSA_FIXED_TECHNOLOGIES,Witbank
Lethabo,Hard Coal,Steam Turbine,PP,ZA,1779.0,,,,,,1990,,,-26.74027,27.975,,RSA_FIXED_TECHNOLOGIES,Vaal
Lethabo_2,Hard Coal,Steam Turbine,PP,ZA,1779.0,,,,,,1990,,,-26.74027,27.975,,RSA_FIXED_TECHNOLOGIES,Vaal
Majuba,Hard Coal,Steam Turbine,PP,ZA,1818.0,,,,,,1990,,,-27.09555,29.77055,,RSA_FIXED_TECHNOLOGIES,Highveld South
Majuba_2,Hard Coal,Steam Turbine,PP,ZA,1989.0,,,,,,1990,,,-27.09555,29.77055,,RSA_FIXED_TECHNOLOGIES,Highveld South
Matimba,Hard Coal,Steam Turbine,PP,ZA,1845.0,,,,,,1990,,,-23.66777,27.61277,,RSA_FIXED_TECHNOLOGIES,Lephalale
