canonical_name,carrier,technology,capacity_mw_final,capacity_mw_ppm,capacity_mw_rsa,capacity_mw_reipppp,eskom_anchor_capacity_mw,anchor_delta_mw,date_in_final,date_out_final,lat_final,lon_final,source_ppm,source_rsa,source_reipppp,status_2023,included_2023,decision,decision_reason,notes
Arnot,coal,Steam Turbine,1050.0000,,1050.0000,,,,1990,,-25.9444,29.7917,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Arnot*'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Arnot,coal,Steam Turbine,1050.0000,,1050.0000,,,,1990,,-25.9444,29.7917,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Arnot**'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Camden,coal,Steam Turbine,570.0000,,570.0000,,,,1990,,-26.6201,30.0911,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Camden*'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Camden,coal,Steam Turbine,911.0000,,911.0000,,,,1990,,-26.6201,30.0911,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Camden**'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Duvha,coal,Steam Turbine,1150.0000,1000.0000,1150.0000,,,,1990,,-25.9595,29.3409,"ppm_live:{'GCPT': {'G100000105830', 'G100000105829', 'G100000105835', 'G100000105834', 'G100000105832', 'G100000105836', 'G100000105831', 'G100000105833', 'G100000105828'}, 'GPD': {'WRI1000126'}, 'GEO': {'GEO-3884'}}","data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Duvha*'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Duvha,coal,Steam Turbine,1725.0000,,1725.0000,,,,1990,,-25.9595,29.3409,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Duvha**'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Grootvlei,coal,Steam Turbine,380.0000,,380.0000,,,,1990,,-26.7695,28.4995,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Grootvlei*'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Grootvlei,coal,Steam Turbine,190.0000,,190.0000,,,,1990,,-26.7695,28.4995,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Grootvlei**'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Hendrina,coal,Steam Turbine,760.0000,,760.0000,,,,1990,,-26.0314,29.6014,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Hendrina*'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
Hendrina,coal,Steam Turbine,338.0000,,338.0000,,,,1990,,-26.6201,30.0911,no_ppm_match,"data/za_audit/pypsa_rsa_fixed_technologies_2023_candidates.csv (scenario_set=ME IRP 2024, Scenario=BASE, sheet=conventional)",,operating,True,include,active 2023 by commissioning/decommissioning year in PyPSA-RSA BASE scenario,raw_name='Hendrina**'; csp_storage_hours=nan; max_storage_hours=nan; storage_gwh=nan
